46,<b>&nbsp;&nbsp;%</b><br>Fentanyl&nbsp;&nbsp;<br>Epidural,0
43,<b>&nbsp;1&nbsp;mg</b><br>0.9% NaC&nbsp;100&nbsp;mL,0
43,<b>&nbsp;1&nbsp;mg</b><br>0.9% NaC&nbsp;50&nbsp;mL,0
43,<b>&nbsp;10&nbsp;Units</b><br>0.9% NaC&nbsp;100&nbsp;mL,0
35,<b>&nbsp;100&nbsp;mcg</b><br>0.9% NaC&nbsp;10&nbsp;mL<br>,0
33,<b>&nbsp;100&nbsp;mcg</b><br>0.9% NaC&nbsp;25&nbsp;mL,0
41,<b>&nbsp;1000&nbsp;mg</b><br>0.9% NaC&nbsp;110&nbsp;mL,0
43,<b>&nbsp;20&nbsp;g</b><br>0.9% NaC&nbsp;1000&nbsp;mL,0
43,<b>&nbsp;20&nbsp;mcg</b><br>5% D/W&nbsp;100&nbsp;mL,0
43,<b>&nbsp;20&nbsp;mg</b><br>0.9% NaC&nbsp;100&nbsp;mL,0
54,<b>&nbsp;200&nbsp;mcg</b><br>0.9% NaC&nbsp;25&nbsp;mL,0
43,<b>&nbsp;25&nbsp;mg</b><br>0.9% NaC&nbsp;1000&nbsp;mL,0
43,<b>&nbsp;40&nbsp;g</b><br>5% D/W&nbsp;500&nbsp;mL,0
43,<b>&nbsp;400&nbsp;mcg</b><br>0.9% NaC&nbsp;500&nbsp;mL,0
33,<b>&nbsp;50&nbsp;mcg</b><br>Acetar&nbsp;25&nbsp;mL,0
43,<b>&nbsp;500&nbsp;mcg</b><br>0.9% NaC&nbsp;100&nbsp;mL,0
43,<b>&nbsp;80&nbsp;mg</b><br>0.9% NaC&nbsp;500&nbsp;mL,0
18,<b></b><br>&nbsp;%<br>,0
18,<b></b><br>0.25&nbsp;%<br>PNB,0
18,<b></b><br>0.5&nbsp;%<br>Local infiltration,0
12,<b></b><br>1,0
12,<b></b><br>2,0
18,<b></b><br>2&nbsp;%<br>Local infiltration,0
18,<b></b><br>2&nbsp;%<br>Spray vocal cord,0
17,<b></b><br>Epidural,0
16,<b></b><br>IV,0
1,<b></b><br>IV,0
17,<b></b><br>IV,0
20,<b></b><br>IV,0
9,<b></b><br>IV,0
19,<b></b><br>IV,0
22,<b></b><br>IV,0
25,<b></b><br>IV,0
28,<b></b><br>IV,0
15,<b></b><br>IV,0
21,<b></b><br>IV,0
53,<b></b><br>IV,0
1,<b></b><br>IV<br>,0
1,<b></b><br>IV<br>KCl 10 mEq,0
17,<b></b><br>Spinal,0
28,<b></b><br>Spinal,0
29,<b>0.025% Iliadine spray</b>,0
29,<b>0.05% Iliadine spray</b>,0
1,<b>0.9% NaCl</b><br>IV,0
1,<b>0.9% NaCl</b><br>IV<br>,0
1,<b>0.9% NaCl</b><br>IV<br>Albumin 20 mEq,0
1,<b>0.9% NaCl</b><br>IV<br>KCl  mEq,0
1,<b>0.9% NaCl</b><br>IV<br>KCl 10 mEq,0
1,<b>0.9% NaCl</b><br>IV<br>KCl 15 mEq,0
1,<b>0.9% NaCl</b><br>IV<br>KCl 20 mEq,0
1,<b>0.9% NaCl</b><br>IV<br>KCl 40 mEq,0
1,<b>0.9% NaCl</b><br>IV<br>KCl 40 mmol,0
1,<b>0.9% NaCl</b><br>IV<br>KCl 60 mEq,0
1,<b>0.9% NaCl</b><br>IV<br>KCl 60 mEq<br>KCl 60 mEq,0
1,<b>0.9% NaCl</b><br>IV<br>KPhos 20 mEq,0
1,<b>0.9% NaCl</b><br>IV<br>KPhos 30 mEq,0
1,<b>0.9% NaCl</b><br>IV<br>KPhos 40 mEq,0
1,<b>0.9% NaCl</b><br>IV<br>MgSO4 20 g,0
1,<b>0.9% NaCl</b><br>IV<br>MgSO4 4 g,0
1,<b>0.9% NaCl</b><br>IV<br>MgSO4 50 %,0
29,<b>1% Lidocaine</b>,0
28,<b>10% Calcium gluconate</b><br>,0
28,<b>10% Calcium gluconate</b><br>IV,0
29,<b>10% Cocaine</b>,0
1,<b>10% D/N/2</b><br>IV,0
1,<b>10% D/N/2</b><br>IV<br>,0
1,<b>10% D/N/2</b><br>IV<br>KCl 10 mEq,0
1,<b>10% D/N/2</b><br>IV<br>KCl 20 mEq,0
1,<b>10% D/N/2</b><br>IV<br>KCl 30 mEq,0
1,<b>10% D/N/2</b><br>IV<br>KCl 40 mEq,0
1,<b>10% D/N/2</b><br>IV<br>KCl 60 mEq,0
1,<b>10% D/N/2</b><br>IV<br>KPhos 40 mEq,0
1,<b>10% D/N/2</b><br>IV<br>KPhos 60 mEq,0
1,<b>10% D/NSS</b><br>IV,0
1,<b>10% D/NSS</b><br>IV<br>,0
1,<b>10% D/NSS</b><br>IV<br>KCl 20 mEq,0
1,<b>10% D/NSS</b><br>IV<br>KCl 30 mEq,0
1,<b>10% D/NSS</b><br>IV<br>KCl 40 mEq,0
1,<b>10% D/NSS</b><br>IV<br>KCl 60 mEq,0
1,<b>10% D/W</b><br>IV,0
1,<b>10% D/W</b><br>IV<br>,0
1,<b>10% D/W</b><br>IV<br>KCl 40 mEq,0
29,<b>10% Lidocaine spray</b>,0
43,<b>10% MgSO4&nbsp;1&nbsp;g</b><br>0.9% NaC&nbsp;10&nbsp;mL,0
43,<b>10% MgSO4&nbsp;1&nbsp;g</b><br>0.9% NaC&nbsp;100&nbsp;mL,0
43,<b>10% MgSO4&nbsp;1&nbsp;g</b><br>0.9% NaC&nbsp;20&nbsp;mL,0
43,<b>10% MgSO4&nbsp;1&nbsp;g</b><br>0.9% NaC&nbsp;25&nbsp;mL,0
43,<b>10% MgSO4&nbsp;1&nbsp;g</b><br>5% D/W&nbsp;100&nbsp;mL,0
43,<b>10% MgSO4&nbsp;1&nbsp;g</b><br>5% D/W&nbsp;20&nbsp;mL,0
43,<b>10% MgSO4&nbsp;1&nbsp;g</b><br>5% D/W&nbsp;50&nbsp;mL,0
43,<b>10% MgSO4&nbsp;10&nbsp;g</b><br>5% D/W&nbsp;1000&nbsp;mL,0
43,<b>10% MgSO4&nbsp;10&nbsp;g</b><br>5% D/W&nbsp;500&nbsp;mL,0
43,<b>10% MgSO4&nbsp;100&nbsp;g</b><br>5% D/W&nbsp;1000&nbsp;mL,0
43,<b>10% MgSO4&nbsp;2&nbsp;g</b><br>0.9% NaC&nbsp;100&nbsp;mL,0
43,<b>10% MgSO4&nbsp;2&nbsp;g</b><br>0.9% NaC&nbsp;104&nbsp;mL,0
43,<b>10% MgSO4&nbsp;2&nbsp;g</b><br>0.9% NaC&nbsp;25&nbsp;mL,0
43,<b>10% MgSO4&nbsp;2&nbsp;g</b><br>0.9% NaC&nbsp;42&nbsp;mL,0
43,<b>10% MgSO4&nbsp;2&nbsp;g</b><br>0.9% NaC&nbsp;50&nbsp;mL,0
43,<b>10% MgSO4&nbsp;2&nbsp;g</b><br>5% D/W&nbsp;100&nbsp;mL,0
43,<b>10% MgSO4&nbsp;2&nbsp;g</b><br>5% D/W&nbsp;20&nbsp;mL,0
43,<b>10% MgSO4&nbsp;2&nbsp;g</b><br>5% D/W&nbsp;50&nbsp;mL,0
43,<b>10% MgSO4&nbsp;20&nbsp;g</b><br>0.9% NaC&nbsp;1000&nbsp;mL,0
43,<b>10% MgSO4&nbsp;20&nbsp;g</b><br>5% D/N/2&nbsp;1000&nbsp;mL,0
43,<b>10% MgSO4&nbsp;20&nbsp;g</b><br>5% D/W&nbsp;1000&nbsp;mL,0
43,<b>10% MgSO4&nbsp;20&nbsp;g</b><br>5% D/W&nbsp;1010&nbsp;mL,0
43,<b>10% MgSO4&nbsp;20&nbsp;g</b><br>5% D/W&nbsp;1040&nbsp;mL,0
43,<b>10% MgSO4&nbsp;20&nbsp;g</b><br>5% D/W&nbsp;500&nbsp;mL,0
43,<b>10% MgSO4&nbsp;20&nbsp;g</b><br>5% D/W&nbsp;900&nbsp;mL,0
43,<b>10% MgSO4&nbsp;20&nbsp;g</b><br>Acetar&nbsp;1000&nbsp;mL,0
43,<b>10% MgSO4&nbsp;20&nbsp;mg</b><br>5% D/W&nbsp;1000&nbsp;mL,0
